instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation,source_file
BBDC4,RAIZ4,1Year,1H,kendall,1,-0.521236470047493,10.067124843597412,0.5819802284240723,4490500,2328423,2170,2555,1509,,correlation_instrument_combinations_part_1_736973_backup.csv
ASAI3,UGPA3,1Year,1T,kendall,4,0.1982667974801059,7.44059419631958,0.5845401287078857,3149833,1794061,153297,130192,88803,,correlation_instrument_combinations_part_1_736973_backup.csv
BBAS3,BPAC11,1Year,1H,spearman,1,-0.6012319403628607,11.539425373077393,0.5931203365325928,4920259,2880579,2170,2555,1509,,correlation_instrument_combinations_part_1_736973_backup.csv
SBSP3,VAMO3,1Year,1S,kendall,2,-0.4226545026718867,14.21184492111206,0.9669561386108398,2043096,1938079,9197778,9197783,2080132,,correlation_instrument_combinations_part_1_736973_backup.csv
ITSA4,RENT3,1Year,1S,spearman,2,0.7098469208292683,17.485621452331543,1.0331153869628906,3800661,3085387,7811781,9197767,2653781,,correlation_instrument_combinations_part_1_736973_backup.csv
ENEV3,WEGE3,1Year,1H,kendall,9,-0.5484793126955466,7.505960702896118,0.5834906101226807,2096459,2589087,2170,2170,1509,,correlation_instrument_combinations_part_1_736973_backup.csv
PRIO3,RAIZ4,1Year,1ms,spearman,3,0.3721445690593238,10.004519701004028,1.4949214458465576,2583061,2328423,2583061,2328423,4573052,,correlation_instrument_combinations_part_1_736973_backup.csv
ALOS3,PETR3,1Year,1D,kendall,2,,5.222800731658936,,1494794,2313747,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
ASAI3,HYPE3,1Year,1ms,pearson,7,0.908354292621724,8.146705865859985,0.1087148189544677,3149833,1465959,3149833,1465959,4568712,,correlation_instrument_combinations_part_1_736973_backup.csv
ITUB4,KLBN11,1Year,1S,pearson,1,-0.5955864656406986,15.831737756729126,0.0463507175445556,4553920,1706371,7811389,9197820,2521467,,correlation_instrument_combinations_part_1_736973_backup.csv
VALE3,WEGE3,1Year,1D,pearson,3,,9.719802141189575,,4355401,2589087,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
RADL3,WEGE3,1Year,1ms,pearson,7,0.5147860023461295,9.444814920425417,0.1189925670623779,2764740,2589087,2764740,2589087,4987866,,correlation_instrument_combinations_part_1_736973_backup.csv
RADL3,TIMS3,1Year,1H,pearson,10,-0.5438001032389792,6.5637736320495605,0.0014998912811279,2764740,2024239,2555,2555,1738,,correlation_instrument_combinations_part_1_736973_backup.csv
